organism	strain	sra_accession	outbreak	source
Lm	CFSAN002349	SRR1206159	outgroup
Lm	PNUSAL000730	SRR1393979	outgroup
Lm	PNUSAL000957	SRR1562157	outgroup
Lm	PNUSAL000870	SRR1534987	outbreak
Lm	MOD1_LS1004	SRR1553826	outbreak
Lm	MOD1_LS1006	SRR1553773	outbreak
Lm	MOD1_LS1010	SRR1553821	outbreak
Lm	MOD1_LS982	SRR1553739	outbreak
Lm	MOD1_LS985	SRR1553882	outbreak
Lm	MOD1_LS989	SRR1553856	outbreak
Lm	MOD1_LS994	SRR1553791	outbreak
Lm	MOD1_LS995	SRR1553816	outbreak
Lm	MOD1_LS996	SRR1553756	outbreak
Lm	MOD1_LS997	SRR1553788	outbreak
Lm	MOD1_LS998	SRR1553804	outbreak
Lm	MOD1_LS1000	SRR1553907	outbreak
Lm	MOD1_LS1003	SRR1553792	outbreak
Lm	MOD1_LS1005	SRR1553867	outbreak
Lm	MOD1_LS1008	SRR1553851	outbreak
Lm	MOD1_LS1009	SRR1553827	outbreak
Lm	MOD1_LS1011	SRR1553774	outbreak
Lm	CFSAN023463	SRR1556288	outbreak
Lm	CFSAN023464	SRR1556294	outbreak
Lm	CFSAN023465	SRR1556293	outbreak
Lm	CFSAN023466	SRR1556289	outbreak
Lm	CFSAN023467	SRR1556296	outbreak
Lm	CFSAN023468	SRR1556290	outbreak
Lm	CFSAN023469	SRR1556291	outbreak
Lm	CFSAN023470	SRR1556297	outbreak
Lm	CFSAN023471	SRR1556295	outbreak
Lm	PNUSAL001024	SRR1597487	outbreak
Se	CFSAN000189	SRR498276	outgroup
Se	CFSAN000191	SRR498369	outgroup
Se	CFSAN000211	SRR498373	outgroup
Se	CFSAN000212	SRR500494	outgroup
Se	CFSAN000228	SRR500493	outgroup
Se	CFSAN000661	SRR498397	outbreak
Se	CFSAN000669	SRR498399	outbreak
Se	CFSAN000700	SRR498402	outbreak
Se	CFSAN000752	SRR498403	outbreak
Se	CFSAN000753	SRR498404	outbreak
Se	CFSAN000951	SRR498422	outbreak
Se	CFSAN000952	SRR498423	outbreak
Se	CFSAN000954	SRR498425	outbreak
Se	CFSAN000958	SRR498431	outbreak
Se	CFSAN000960	SRR498433	outbreak
Se	CFSAN000961	SRR498434	outbreak
Se	CFSAN000963	SRR498436	outbreak
Se	CFSAN000968	SRR498442	outbreak
Se	CFSAN000970	SRR498444	outbreak
Se	CFSAN001112	SRR1258439	outbreak
Se	CFSAN001115	SRR1258442	outbreak
Se	CFSAN001118	SRR1258443	outbreak
Se	CFSAN001140	SRR1258440	outbreak
Ec	2014C-3598	SRR1609861	outbreak
Ec	2014C-3599	SRR1609862	outbreak
Ec	2014C-3600	SRR1609871	outbreak
Ec	2014C-3656	SRR1610029	outgroup
Ec	2014C-3655	SRR1610028	outgroup
Ec	2014C-3840	SRR1610031	outgroup
Ec	2014C-3857	SRR1610033	outgroup
Ec	2014C-3907	SRR1610034	outgroup
Ec	2014C-3850	SRR1610032	outgroup
Cj	D7331	SRR3214715	outbreak
Cj	D7321	SRR3215135	outbreak
Cj	D7319	SRR3215210	outbreak
Cj	D7323	SRR3215124	outbreak
Cj	D7327	SRR3215211	outbreak
Cj	D7328	SRR3215108	outbreak
Cj	D7316	SRR3216133	outbreak
Cj	D7322	SRR3215209	outbreak
Cj	D7324	SRR3215123	outbreak
Cj	D7330	SRR3215024	outbreak
Cj	D7333	SRR3216118	outbreak
Cj	D7334	SRR3216366	outbreak
Cj	D7329	SRR3215107	outbreak
Cj	D7320	SRR3216186	outbreak
Cj	D5663	SRR1999649	outgroup
Cj	PNUSA000194	SRR2985019	outgroup
Cj	PNUSA000195	SRR2985018	outgroup
Cj	PNUSA000196	SRR2984947	outgroup
Cj	2014D-0067	SRR1993270	outgroup
Cj	2014D-0070	SRR1993272	outgroup
Cj	2014D-0189	SRR1999661	outgroup
Cj	2014D-0068	SRR1993271	outgroup
